carat,cut,color,clarity,depth,table,x,y,z,price
0.55,Ideal,F,VS1,61.8,55.0,5.28,5.3,3.27,2119
1.09,Ideal,H,SI1,62.4,55.0,6.68,6.59,4.14,4871
1.18,Premium,I,SI1,61.8,58.0,6.78,6.74,4.18,5617
2.0,Good,J,I1,63.6,62.0,7.97,7.8,5.02,6521
0.77,Premium,E,SI1,60.4,58.0,6.0,5.88,3.59,2975
1.51,Ideal,G,VS1,60.8,57.0,7.37,7.44,4.5,14779
0.51,Premium,E,SI2,61.7,58.0,5.14,5.07,3.15,1265
1.05,Ideal,F,SI2,61.9,56.0,6.48,6.5,4.02,5347
0.4,Ideal,G,VS2,62.3,57.0,4.7,4.71,2.93,807
1.62,Ideal,G,SI1,62.2,56.0,7.48,7.53,4.67,12295
0.24,Very Good,D,VVS2,62.9,59.0,3.95,3.97,2.49,492
0.42,Premium,F,VS2,61.9,58.0,4.8,4.76,2.96,945
0.9,Premium,D,SI1,62.7,58.0,6.09,6.15,3.84,4381
0.58,Premium,E,SI1,60.6,56.0,5.42,5.38,3.27,1949
0.59,Very Good,G,VS1,62.5,53.0,5.46,5.35,3.38,1942
0.32,Ideal,H,IF,61.6,56.0,4.4,4.43,2.72,796
1.21,Premium,J,VVS1,61.3,59.0,6.86,6.81,4.19,6001
0.91,Ideal,E,SI2,62.7,57.0,6.19,6.26,3.9,3756
2.53,Premium,H,SI2,,59.0,8.9,8.82,5.29,17591
0.33,Ideal,H,VS1,61.9,56.0,4.44,4.48,2.76,579
1.01,Ideal,I,VS1,62.6,56.0,6.42,6.36,4.0,4808
0.95,Fair,J,I1,64.9,56.0,6.17,6.12,3.99,2322
0.91,Ideal,H,SI2,60.3,57.0,6.27,6.31,3.79,3423
0.9,Fair,H,VS2,65.5,57.0,6.05,6.01,3.95,3226
0.3,Ideal,H,VVS1,63.0,54.0,4.3,4.27,2.7,878
1.0,Premium,H,VVS2,61.4,59.0,6.49,6.45,3.97,5914
1.08,Ideal,I,SI1,62.6,54.0,6.56,6.51,4.09,5141
0.72,Premium,H,IF,58.7,59.0,5.94,5.88,3.47,3048
1.23,Ideal,I,VS1,,57.0,6.88,6.9,4.21,7881
1.2,Good,D,SI2,62.2,65.0,6.75,6.7,4.18,6344
0.51,Ideal,H,VS1,62.6,57.0,5.09,5.13,3.2,1438
0.71,Good,F,SI1,63.9,57.0,5.57,5.61,3.57,2331
1.13,Premium,F,IF,60.0,58.0,6.78,6.76,4.06,12543
0.33,Ideal,G,VVS1,62.0,55.0,4.45,4.49,2.77,838
1.07,Premium,E,VS1,62.0,60.0,6.58,6.49,4.05,7909
1.1,Premium,I,SI2,,62.0,6.75,6.7,3.99,3271
0.42,Very Good,E,VVS2,59.4,60.0,4.88,4.91,2.91,1262
0.41,Ideal,D,VS1,62.6,55.0,4.75,4.77,2.98,1019
1.51,Ideal,G,VS1,62.8,56.0,7.29,7.24,4.56,13811
0.53,Ideal,H,VVS1,61.6,54.0,5.2,5.25,3.22,1743
0.31,Ideal,F,VS2,61.9,57.0,4.34,4.32,2.68,749
0.3,Premium,G,VS1,61.7,56.0,4.33,4.29,2.66,776
0.32,Premium,G,VS1,61.4,58.0,4.36,4.4,2.69,645
0.33,Premium,H,IF,61.8,60.0,4.44,4.4,2.73,1114
0.42,Very Good,H,VVS1,60.9,62.0,4.8,4.86,2.94,1026
1.5,Fair,J,VS2,64.5,59.0,7.2,7.07,4.6,5846
0.9,Very Good,H,VS1,61.5,59.0,6.13,6.19,3.79,4136
1.51,Very Good,E,SI2,61.1,60.0,7.27,7.37,4.47,9343
1.2,Very Good,H,VS2,63.3,59.0,6.78,6.74,4.28,6833
0.59,Ideal,F,VVS2,62.0,54.0,5.36,5.38,3.33,2679
0.51,Ideal,E,SI2,61.0,56.0,5.16,5.2,3.16,1098
1.01,Good,D,SI2,63.6,56.0,6.38,6.33,4.04,4805
0.31,Ideal,F,VS1,61.5,54.0,4.36,4.39,2.69,642
1.5,Premium,J,VS2,61.7,56.0,7.33,7.23,4.49,7308
0.74,Premium,E,VS1,62.8,59.0,5.76,5.68,3.59,3357
0.42,Ideal,F,VS1,,57.0,4.84,4.87,2.96,1031
0.71,Very Good,D,VS1,64.1,57.0,5.64,5.66,3.62,3332
0.3,Ideal,G,SI2,62.5,56.0,4.28,4.3,2.68,382
0.32,Ideal,D,VS2,62.1,53.0,4.42,4.44,2.75,671
1.01,Premium,H,SI2,,60.0,6.39,6.25,3.92,3507
0.32,Good,D,SI1,63.5,55.0,4.31,4.35,2.75,589
0.9,Ideal,F,SI2,61.9,56.0,6.19,6.24,3.85,3796
1.21,Ideal,I,VS1,61.7,53.0,6.89,6.92,4.26,7111
1.51,Very Good,G,SI2,62.8,56.0,7.22,7.3,4.56,8637
1.0,Fair,F,SI2,65.5,56.0,6.3,6.19,4.09,3146
0.5,Ideal,E,SI2,61.4,57.0,5.09,5.14,3.14,1154
0.38,Very Good,F,SI1,61.5,54.0,4.69,4.71,2.89,660
0.33,Very Good,H,IF,61.7,55.0,4.45,4.48,2.75,795
0.7,Very Good,G,VS1,60.8,56.0,5.72,5.76,3.49,2512
0.3,Good,I,SI1,64.1,57.0,4.3,4.25,2.74,506
0.39,Ideal,D,VS2,61.4,56.0,4.71,4.73,2.9,1197
0.83,Ideal,F,SI1,62.2,55.0,6.01,6.03,3.74,3560
1.57,Premium,I,VS2,62.5,58.0,7.5,7.42,4.66,9847
0.41,Ideal,H,VS1,62.7,56.0,4.73,4.77,2.98,827
0.54,Premium,D,VS2,61.6,55.0,5.28,5.24,3.24,1913
0.7,Good,H,VS2,59.7,57.0,5.75,5.8,3.45,2347
2.3,Ideal,I,SI2,61.8,57.0,8.48,8.45,5.23,16329
0.54,Ideal,E,VS1,61.0,56.0,5.24,5.35,3.23,1939
1.68,Ideal,I,VS2,62.1,57.0,7.6,7.54,4.7,10800
0.23,Premium,E,VVS1,61.1,60.0,4.01,3.95,2.43,680
1.31,Ideal,H,SI1,60.8,56.0,7.12,7.08,4.32,7519
0.61,Ideal,F,VS1,61.9,57.0,5.42,5.46,3.37,2246
1.73,Premium,I,VS1,62.2,59.0,7.65,7.62,4.75,12674
1.0,Ideal,G,VVS2,59.8,54.0,6.58,6.54,3.92,7885
0.31,Ideal,F,VS2,61.8,56.0,4.37,4.33,2.69,802
1.06,Ideal,H,VS2,62.3,53.0,6.58,6.56,4.09,6619
1.21,Premium,H,VS2,60.8,58.0,6.91,6.88,4.19,6710
0.5,Premium,D,SI1,62.2,57.0,5.11,5.08,3.17,1654
0.42,Very Good,G,SI1,62.9,54.0,4.79,4.81,3.02,737
1.0,Very Good,D,VS2,62.6,58.0,6.31,6.38,3.97,6762
0.8,Premium,J,SI1,60.0,60.0,6.1,5.97,3.66,2088
0.9,Very Good,E,SI1,61.6,57.0,6.19,6.25,3.83,4463
1.4,Premium,I,VVS2,62.0,58.0,7.22,7.16,4.46,8467
0.4,Ideal,E,VS2,60.9,56.0,4.78,4.81,2.92,904
0.57,Premium,D,SI1,60.2,60.0,5.36,5.34,3.22,1847
2.01,Fair,H,SI2,65.8,63.0,7.77,7.68,5.08,13587
0.32,Ideal,D,VVS2,61.7,55.0,4.39,4.42,2.72,790
0.71,Ideal,H,VVS2,61.9,56.0,5.72,5.76,3.55,3371
0.3,Very Good,F,SI1,63.5,57.0,4.27,4.24,2.7,641
0.59,Ideal,D,SI2,62.3,55.0,5.41,5.38,3.36,1572
0.32,Premium,E,VVS1,61.8,59.0,4.35,4.39,2.7,954
1.01,Very Good,G,VVS2,59.7,59.0,6.5,6.56,3.9,7226
1.5,Good,I,SI1,63.8,59.0,7.21,7.11,4.57,8736
1.01,Ideal,I,SI1,62.5,56.0,6.4,6.44,4.01,4413
0.32,Ideal,I,VS2,61.3,56.0,4.43,4.38,2.7,576
0.44,Ideal,E,VVS1,61.4,55.0,4.92,4.95,3.03,1868
0.4,Very Good,E,VS1,62.6,56.0,4.67,4.72,2.94,1053
2.08,Very Good,H,SI2,59.0,59.0,8.37,8.41,4.95,15696
0.33,Ideal,G,VVS2,61.7,56.0,4.42,4.46,2.74,752
0.3,Ideal,I,VS1,62.5,54.0,4.29,4.32,2.69,473
0.5,Premium,F,SI2,59.9,60.0,5.22,5.16,3.11,1125
1.5,Premium,F,VS2,60.9,60.0,7.42,7.35,4.5,13853
1.1,Very Good,E,SI2,60.9,60.0,6.61,6.66,4.04,4539
0.31,Ideal,G,VVS1,62.1,55.0,4.34,4.39,2.71,789
2.14,Premium,G,SI2,60.4,59.0,8.32,8.38,5.04,17513
1.21,Premium,I,SI1,61.0,56.0,6.91,6.87,4.2,4404
0.51,Ideal,H,SI2,62.0,55.0,5.12,5.14,3.18,1435
1.07,Ideal,F,SI1,62.3,53.0,6.57,6.59,4.1,6049
1.28,Ideal,H,SI1,61.8,57.0,7.02,6.97,4.32,7109
4.5,Fair,J,I1,65.8,58.0,10.23,10.16,6.72,18531
0.37,Premium,G,VS2,59.3,60.0,4.71,4.67,2.78,833
0.33,Good,I,VS1,63.1,56.0,4.38,4.4,2.77,521
2.5,Ideal,I,VS2,61.9,57.0,8.7,8.68,5.38,16955
2.02,Fair,G,I1,68.0,55.0,7.77,7.72,5.27,6346
0.47,Good,E,VVS1,65.2,56.0,4.86,4.89,3.18,1613
0.78,Ideal,G,VS2,,57.0,5.87,5.9,3.66,3171
1.0,Fair,E,VVS2,65.4,56.0,6.28,6.2,4.08,7918
1.35,Premium,I,SI2,62.3,59.0,7.09,7.03,4.4,5919
0.38,Ideal,J,VS1,62.0,53.0,4.66,4.7,2.9,645
2.03,Premium,I,SI1,59.9,58.0,8.23,8.21,4.92,15095
0.71,Good,I,VS2,61.1,60.6,5.71,5.74,3.49,2145
1.27,Premium,I,I1,60.2,62.0,7.05,7.0,4.23,3732
1.02,Good,D,SI1,56.9,62.0,6.64,6.69,3.79,4948
0.3,Ideal,F,IF,60.8,56.0,4.35,4.36,2.65,892
0.44,Ideal,E,VS2,61.5,56.0,4.9,4.92,3.02,1003
0.39,Very Good,J,VVS1,57.8,59.0,4.85,4.9,2.82,767
0.61,Ideal,I,VVS2,62.0,54.0,5.51,5.47,3.4,1867
0.3,Very Good,F,VS2,62.8,58.0,4.25,4.28,2.68,605
0.56,Very Good,F,SI1,63.2,56.0,5.29,5.24,3.33,1441
0.32,Ideal,F,VVS1,62.6,56.0,4.37,4.41,2.75,913
0.3,Very Good,H,VVS1,63.0,54.0,4.27,4.3,2.7,684
1.42,Very Good,I,VS1,,65.0,7.28,7.2,4.35,6894
1.19,Ideal,F,VVS2,61.7,56.0,6.82,6.85,4.22,10436
1.25,Ideal,I,VS2,60.0,57.0,7.07,7.02,4.23,4795
1.2,Premium,I,VS2,62.6,58.0,6.77,6.72,4.22,5699
0.42,Premium,D,SI1,59.8,59.0,4.86,4.91,2.92,810
1.0,Good,G,VS2,64.1,58.0,6.22,6.32,4.02,5002
1.5,Ideal,F,VS2,61.7,54.0,7.28,7.31,4.5,14092
0.56,Very Good,F,VS2,60.0,57.0,5.34,5.39,3.22,1627
1.29,Very Good,J,SI1,61.2,58.0,6.97,7.02,4.28,5209
1.01,Good,E,SI2,63.7,58.0,6.36,6.32,4.04,4751
0.59,Premium,I,IF,61.2,58.0,5.38,5.41,3.3,1866
1.5,Premium,J,VVS2,61.8,60.0,7.33,7.36,4.54,8603
0.3,Premium,D,VS1,61.2,59.0,4.34,4.29,2.64,732
0.34,Very Good,H,VS2,60.0,58.0,4.52,4.56,2.72,521
0.97,Ideal,H,SI2,60.7,55.0,6.47,6.41,3.91,3729
0.47,Fair,G,SI1,58.4,60.0,5.16,5.12,3.0,1086
1.22,Very Good,E,SI2,63.3,56.0,6.78,6.75,4.28,5739
1.13,Ideal,E,VVS1,61.5,56.0,6.68,6.71,4.12,11641
1.23,Very Good,J,VS2,62.8,59.0,6.75,6.82,4.26,4960
2.54,Very Good,H,SI2,63.5,56.0,8.68,8.65,5.5,16353
0.71,Ideal,I,VS2,,57.0,5.72,5.64,3.53,2270
1.72,Very Good,D,SI2,63.4,62.0,7.59,7.53,4.79,12360
1.02,Ideal,F,VS2,61.0,56.0,6.55,6.62,4.02,6393
1.25,Very Good,G,SI2,61.4,59.0,6.97,6.93,4.27,6399
0.4,Ideal,I,SI2,61.3,56.0,4.76,4.79,2.93,612
0.35,Ideal,E,VS2,61.6,56.0,4.52,4.54,2.79,767
0.23,Very Good,D,VVS2,60.4,59.0,3.95,4.0,2.4,530
0.3,Ideal,G,VS1,62.6,57.0,4.29,4.27,2.68,776
1.57,Premium,I,SI2,60.9,58.0,7.53,7.51,4.58,7484
0.7,Very Good,F,SI1,61.7,61.0,5.67,5.7,3.51,2230
0.7,Very Good,G,VS2,61.8,55.0,5.69,5.74,3.53,3026
0.71,Premium,E,SI2,61.4,59.0,5.74,5.7,3.51,2306
1.27,Premium,G,VS2,61.0,60.0,6.93,6.97,4.24,8549
0.53,Ideal,F,VS1,61.8,56.0,5.2,5.22,3.22,1812
0.7,Very Good,I,VVS1,62.9,58.0,5.65,5.67,3.56,2513
0.5,Premium,F,SI1,62.4,57.0,5.13,5.1,3.19,1838
0.3,Ideal,F,VS2,62.0,55.0,4.33,4.31,2.68,776
0.23,Very Good,E,VS1,60.4,62.0,3.93,3.99,2.39,378
0.42,Ideal,G,VS2,62.2,54.0,4.8,4.82,2.99,847
1.57,Ideal,G,SI1,61.7,55.0,7.51,7.44,4.61,8752
0.34,Ideal,H,VS2,60.4,57.0,4.54,4.57,2.75,555
1.28,Ideal,F,VS1,61.5,55.0,6.98,7.01,4.3,12061
0.32,Ideal,G,SI1,63.0,56.0,4.38,4.35,2.75,612
2.33,Good,G,SI2,63.9,60.0,8.37,8.3,5.32,13242
0.79,Ideal,E,SI1,61.6,55.0,5.94,6.04,3.69,3715
0.44,Ideal,H,SI1,61.9,56.0,4.91,4.87,3.03,1069
0.33,Ideal,E,VVS2,61.9,57.0,4.44,4.47,2.75,917
0.5,Ideal,D,VS2,62.6,56.0,5.05,5.08,3.17,1752
0.9,Good,I,VS1,62.8,59.0,6.11,6.18,3.86,3447
0.31,Very Good,G,VS2,63.1,56.0,4.37,4.31,2.74,698
0.3,Good,H,VVS2,63.7,55.0,4.24,4.27,2.71,605
0.32,Ideal,D,SI1,62.5,54.0,4.39,4.41,2.75,589
0.7,Premium,H,SI2,61.0,59.0,5.76,5.71,3.5,1974
0.33,Very Good,H,VS2,58.8,62.0,4.49,4.53,2.65,486
1.02,Ideal,F,VS2,62.6,57.0,6.4,6.47,4.03,7632
1.0,Ideal,E,VS2,61.3,58.0,6.41,6.44,3.94,7370
1.2,Premium,D,SI2,62.6,57.0,6.84,6.74,4.25,5551
0.5,Very Good,E,SI1,62.4,58.0,5.06,5.01,3.14,1090
1.5,Very Good,E,VS2,62.9,56.0,7.31,7.22,4.57,13892
0.71,Ideal,E,SI1,61.6,53.0,5.79,5.73,3.55,2258
0.4,Premium,D,VS1,62.5,60.0,4.72,4.66,2.93,1200
1.51,Premium,J,SI1,63.0,58.0,7.32,7.28,4.6,7441
0.93,Ideal,G,SI1,60.1,57.0,6.33,6.41,3.83,5126
0.9,Good,F,SI1,62.6,58.0,6.1,6.14,3.83,4006
0.37,Ideal,E,VS2,61.9,53.0,4.62,4.65,2.87,811
0.63,Premium,E,VS2,62.4,59.0,5.5,5.46,3.42,2344
0.32,Premium,G,VS2,60.2,57.0,4.45,4.42,2.67,720
0.3,Premium,H,VVS1,61.3,58.0,4.32,4.3,2.64,761
0.7,Premium,E,VS1,61.8,58.0,5.71,5.75,3.54,3016
1.0,Good,J,VVS2,63.7,57.0,6.34,6.31,4.03,3265
0.31,Premium,E,VS1,60.0,59.0,4.42,4.38,2.64,942
0.33,Very Good,F,VS2,63.2,56.0,4.41,4.39,2.78,854
0.75,Ideal,D,SI2,61.3,56.0,5.85,5.89,3.6,2773
0.34,Premium,F,VS1,60.0,59.0,4.59,4.55,2.74,725
1.14,Premium,F,SI1,61.1,58.0,6.77,6.72,4.12,6448
0.3,Ideal,H,VS2,61.9,54.6,4.27,4.33,2.67,486
0.54,Very Good,F,VVS2,60.2,59.0,5.27,5.3,3.18,2198
0.4,Ideal,E,VS2,61.6,57.0,4.73,4.75,2.92,1092
1.21,Premium,G,VS2,62.8,59.0,6.84,6.76,4.27,8402
0.57,Premium,H,SI1,61.6,58.0,5.37,5.34,3.3,1247
1.3,Premium,H,SI2,61.3,58.0,6.99,6.95,4.27,5096
0.3,Ideal,E,VS2,62.0,57.0,4.26,4.29,2.65,603
1.3,Premium,F,SI1,61.4,59.0,7.01,6.97,4.29,8164
0.31,Ideal,F,IF,61.4,56.0,4.38,4.41,2.7,1061
1.33,Ideal,H,SI1,60.1,57.0,7.14,7.2,4.31,7742
0.31,Premium,I,VVS2,61.7,58.0,4.4,4.38,2.71,698
0.61,Premium,G,VS1,62.7,57.0,5.43,5.36,3.38,2192
0.57,Ideal,E,SI1,62.2,57.0,5.33,5.31,3.31,1613
0.56,Ideal,G,VS1,61.8,55.0,5.28,5.37,3.29,1712
0.58,Good,E,SI1,61.0,62.0,5.36,5.33,3.26,1844
0.51,Premium,E,VVS2,59.3,59.0,5.25,5.17,3.09,2419
1.06,Very Good,F,SI1,59.6,60.0,6.61,6.68,3.96,5491
1.53,Good,I,SI1,63.1,57.0,7.28,7.34,4.61,8095
0.44,Ideal,F,VVS2,60.9,55.0,4.96,4.92,3.01,1253
0.93,Ideal,G,IF,62.2,58.0,6.25,6.22,3.88,5879
1.11,Very Good,I,SI2,63.1,57.0,6.59,6.54,4.14,4075
0.42,Premium,E,VS2,61.9,59.0,4.81,4.75,2.96,1024
1.54,Premium,G,SI2,61.6,58.0,7.45,7.3,4.57,7287
1.73,Good,E,SI1,64.2,58.0,7.54,7.5,4.83,14479
0.7,Premium,D,VS2,61.0,60.0,5.75,5.7,3.49,2909
0.76,Ideal,I,SI1,61.9,56.0,5.85,5.88,3.63,2358
0.28,Very Good,F,VVS2,60.6,59.0,4.22,4.26,2.57,642
1.33,Premium,I,VS1,61.5,58.0,7.02,7.06,4.33,6963
1.04,Very Good,I,SI1,62.0,57.0,6.47,6.5,4.02,4290
0.73,Ideal,F,VVS2,61.7,54.0,5.76,5.82,3.57,3524
0.5,Very Good,D,SI1,61.9,61.0,5.09,5.12,3.16,1436
0.72,Ideal,H,VS1,62.3,55.0,5.72,5.74,3.57,2949
0.41,Very Good,G,VS2,62.9,59.0,4.7,4.75,2.97,827
0.9,Very Good,H,SI2,62.3,61.0,6.15,6.17,3.84,3481
1.03,Good,G,SI2,63.7,60.0,6.35,6.28,4.02,4001
0.56,Ideal,E,SI2,,55.0,5.32,5.34,3.3,1296
0.8,Very Good,H,SI1,63.0,57.0,5.89,5.95,3.73,3005
0.9,Good,G,SI1,63.7,58.0,6.09,6.12,3.89,3734
0.39,Ideal,F,VVS2,60.4,60.0,4.73,4.78,2.87,1031
1.0,Very Good,D,SI2,63.7,55.0,6.32,6.37,4.04,4419
0.33,Ideal,G,VVS2,61.9,55.0,4.41,4.44,2.74,713
0.55,Premium,E,SI1,61.0,61.0,5.3,5.25,3.22,1668
0.54,Ideal,I,SI1,61.4,56.0,5.25,5.27,3.23,1114
0.31,Premium,H,VVS2,61.2,60.0,4.39,4.37,2.68,802
0.7,Premium,H,VS2,61.8,60.0,5.68,5.71,3.52,2330
0.3,Premium,H,VVS1,61.1,61.0,4.3,4.27,2.62,819
1.23,Premium,H,VVS2,62.8,56.0,6.9,6.82,4.31,8004
1.0,Premium,F,VS2,61.7,56.0,6.48,6.39,3.97,6608
1.15,Ideal,H,VS1,62.7,57.0,6.68,6.64,4.17,7123
1.48,Very Good,I,VS2,63.0,58.0,7.16,7.19,4.52,8196
0.55,Very Good,G,VS2,62.3,56.0,5.24,5.29,3.28,1551
1.01,Ideal,G,IF,62.8,57.0,6.42,6.39,4.02,8778
0.77,Premium,E,SI2,62.5,60.0,5.84,5.8,3.64,2171
1.31,Premium,J,VS2,62.0,59.0,7.04,6.97,4.34,6822
0.72,Very Good,J,VVS2,63.0,59.0,5.7,5.72,3.6,2144
0.3,Ideal,G,VS1,61.5,56.0,4.34,4.28,2.65,776
0.9,Good,J,SI1,63.2,60.0,6.09,6.12,3.86,2729
0.91,Premium,D,SI2,62.4,56.0,6.2,6.17,3.86,3949
0.39,Very Good,J,VVS1,61.8,56.0,4.64,4.71,2.89,718
0.31,Premium,H,VVS2,61.2,59.0,4.38,4.34,2.67,802
1.06,Premium,F,VS2,62.2,57.0,6.58,6.53,4.08,6947
1.53,Ideal,J,SI1,62.2,58.0,7.35,7.37,4.58,7721
1.51,Premium,I,SI1,62.7,61.0,7.33,7.27,4.58,8794
1.07,Premium,I,SI1,61.2,58.0,6.62,6.55,4.03,4126
0.41,Premium,D,SI2,62.4,60.0,4.77,4.71,2.96,876
1.47,Premium,G,VS2,62.8,57.0,7.27,7.22,4.55,11113
0.32,Very Good,G,VS2,62.6,58.0,4.37,4.39,2.74,561
0.34,Very Good,G,SI1,61.5,56.0,4.45,4.52,2.76,507
0.36,Premium,E,VS2,62.1,59.0,4.59,4.55,2.84,1013
1.02,Very Good,D,SI2,60.3,58.0,6.48,6.52,3.92,4633
0.4,Premium,G,VVS2,61.7,59.0,4.76,4.73,2.93,1050
1.51,Very Good,I,VS1,61.1,61.0,7.32,7.37,4.49,10215
1.01,Good,H,VS2,64.3,58.0,6.27,6.2,4.01,4489
0.52,Good,E,SI2,60.5,62.0,5.15,5.2,3.13,1199
2.32,Good,J,SI1,60.3,61.0,8.56,8.52,5.15,13654
0.41,Premium,F,VVS2,60.1,59.0,4.79,4.82,2.89,1115
0.3,Good,D,VS2,64.1,57.0,4.25,4.21,2.71,608
0.41,Very Good,H,VS1,61.5,55.0,4.8,4.82,2.96,788
1.7,Premium,F,VS2,62.5,61.0,7.54,7.45,4.69,13737
1.01,Premium,H,SI1,59.5,59.0,6.56,6.52,3.89,4771
1.21,Good,E,VS1,61.7,58.0,6.73,6.78,4.17,8902
0.51,Ideal,G,VVS2,62.0,57.0,5.13,5.1,3.17,1842
0.37,Ideal,F,SI1,61.3,55.0,4.61,4.65,2.84,583
1.02,Ideal,E,VS1,62.6,56.0,6.45,6.42,4.03,8545
0.41,Good,E,SI2,63.8,57.0,4.68,4.75,3.01,638
1.01,Premium,F,VS2,62.1,60.0,6.36,6.43,3.97,5988
0.7,Very Good,G,IF,63.0,59.0,5.58,5.62,3.53,3725
0.7,Ideal,E,SI1,61.7,55.0,5.71,5.74,3.53,2745
0.32,Very Good,I,SI2,63.1,58.0,4.41,4.34,2.76,480
1.24,Ideal,D,SI1,60.4,57.0,6.95,7.02,4.22,8457
0.51,Very Good,D,SI1,62.2,58.0,5.08,5.11,3.17,1398
1.07,Very Good,H,VS1,62.5,56.0,6.52,6.55,4.08,6262
0.25,Ideal,G,VVS2,62.1,57.0,4.01,4.07,2.5,525
